Rank,Overall,Team,Pos
1,DeAndre Hopkins,HOU,WR
2,Odell Beckham Jr.,NYG,WR
3,Todd Gurley,LAR,RB
4,Ezekiel Elliott,DAL,RB
5,Antonio Brown,PIT,WR
6,Le'Veon Bell,PIT,RB
7,David Johnson,ARI,RB
8,Saquon Barkley,NYG,RB
9,Michael Thomas,NO,WR
10,Alvin Kamara,NO,RB
11,Keenan Allen,LAC,WR
12,Mike Evans,TB,WR
13,Julio Jones,ATL,WR
14,Davante Adams,GB,WR
15,Leonard Fournette,JAC,RB
16,Kareem Hunt,KC,RB
17,Dalvin Cook,MIN,RB
18,A.J. Green,CIN,WR
19,Melvin Gordon,LAC,RB
20,Christian McCaffrey,CAR,RB
21,Allen Robinson,CHI,WR
22,Stefon Diggs,MIN,WR
23,Amari Cooper,OAK,WR
24,Tyreek Hill,KC,WR
25,Joe Mixon,CIN,RB
26,Travis Kelce,KC,TE
27,Adam Thielen,MIN,WR
28,Brandin Cooks,LAR,WR
29,Devonta Freeman,ATL,RB
30,T.Y. Hilton,IND,WR
31,Corey Davis,TEN,WR
32,Jarvis Landry,CLE,WR
33,Derrius Guice,WAS,RB
34,Jordan Howard,CHI,RB
35,Doug Baldwin,SEA,WR
36,Zach Ertz,PHI,TE
37,JuJu Smith-Schuster,PIT,WR
38,Rob Gronkowski,NE,TE
39,Alshon Jeffery,PHI,WR
40,Aaron Rodgers,GB,QB
41,Sammy Watkins,KC,WR
42,Carson Wentz,PHI,QB
43,Evan Engram,NYG,TE
44,Nick Chubb,CLE,RB
45,Rashaad Penny,SEA,RB
46,Sony Michel,NE,RB
47,Josh Gordon,CLE,WR
48,Russell Wilson,SEA,QB
49,Jerick McKinnon,SF,RB
50,Derrick Henry,TEN,RB
51,Deshaun Watson,HOU,QB
52,Golden Tate,DET,WR
53,Marvin Jones,DET,WR
54,Demaryius Thomas,DEN,WR
55,Cam Newton,CAR,QB
56,Cooper Kupp,LAR,WR
57,David Njoku,CLE,TE
58,Royce Freeman,DEN,RB
59,Tevin Coleman,ATL,RB
60,Robert Woods,LAR,WR
61,Kerryon Johnson,DET,RB
62,Ronald Jones II,TB,RB
63,LeSean McCoy,BUF,RB
64,Mark Ingram,NO,RB
65,Devante Parker,MIA,WR
66,Andrew Luck,IND,QB
67,D.J. Moore,CAR,WR
